Review Title,Rating,Review Body,Review Date,Sentiment
No title,No rating,"Le i5-12400F est un bon processeur avec un prix relativement bas pour ces capacités.Des jeux comme destiny 2, Enshrouded et helldivers 2 tournent parfaitement avec.",20 June 2024,Neutral
No title,No rating,ne chauffe pas trop avec un bon ventirad stable et puissant,20 June 2024,Positive
No title,No rating,"Utilisation pour du gaming et rien à signaler.Tourne comme une horloge, 0 plantage.",18 June 2024,Neutral
No title,No rating,Arrivato anche dissipatore rotto,14 June 2024,Neutral
No title,No rating,i used this cpu for my first ever pc build i pared it with an rtx 3050 6gb eagle edition its works together great,8 June 2024,Positive
No title,No rating,"Chegou muito bem embalado, rápido e tudo conforme mostrado. Porém meu Pc ainda não está completo então poderei apenas testar outra hora eventualmente.Mas não há problema pois essa compra realmente é confiável.",7 June 2024,Neutral
No title,No rating,Sorry für schreiben bin ich zu faul. Aber alles top.,6 June 2024,Positive
No title,No rating,Der Computer ist zusammengebaut. Alles ist neu und macht Spaß :),4 June 2024,Positive
No title,No rating,"Pour moins de 110 €, ce processeur est très performant. Refroidi par un Cooler Master Hyper 212 et monté sur une Asus TUF B760 Gaming D4, il ne dépasse pas les 40°.",3 June 2024,Neutral
No title,No rating,"Produit pas dans sa boîte d'origine, ventirad poussiéreux et pâtes de fixation déjà utilisées légèrement tordues marques de pâte thermique sur ventirad et processeur",3 June 2024,Neutral
No title,No rating,Très bon processeur pour le prix,1 June 2024,Neutral
No title,No rating,Na minha opinião esse é o melhor preço que vc vai encontrar um i5 de 12 geração. Chegou bem rápido olha que eu moro num fim de mundo.,31 May 2024,Neutral
No title,No rating,je satisfait du produit pas de commentaire,29 May 2024,Neutral
No title,No rating,Parfait pour du gaming un peu limité pour de la virtualization mais sinon ok,27 May 2024,Positive
No title,No rating,Utilizzato per un uso esclusivo di navigazione internet e manipolazione file multimediali. Fa il suo lavoro. Non testato con giochi.,26 May 2024,Neutral
No title,No rating,"The media could not be loaded.
                



Processeur au top qui fait tourner très bien tout les jeux même en grosse résolution. Je vais bien faire du streaming et les test que j'ai effectué pour l'instant sont très positifs avec très peu de lag. Cette version de I5 peut totalement rivaliser contre d'anciennes version de I7.La pose sur la carte mère et très facile !Je ne savais pas mais le ventilateur est compris dedans avec une pâte pour coller le processeur. Les fixation de celui-ci sont correctes et facile à fixer. Très bon produit, je recommande 👍",26 May 2024,Competition Sentiment
No title,No rating,Top processor at an acceptable price,25 May 2024,Positive
No title,No rating,Top,24 May 2024,Positive
No title,No rating,Would be useful to specify which boards it will work with as plug and play no longer exist.,23 May 2024,Positive
No title,No rating,"The CPU is perfect and amazing im not going to lie about that and it works as it was expected and even higher then that, in Fortnite i went from 110fps to 312fps and that REALLY SHOCKED ME because thats a big jump and it is Amazing how GOOD this CPU is so i am Really Happy about it but the reason i did not give it 5 starts is due to when it arrived at my house and i unboxed it, 1 prepeller of my CPU Fan was broken and i tried contacting but i coulnt not fix the issue so i have to live with 1 part of the Fan missing and due to that it makes alot of sound when it speeds up so i have to buy a PU Fan septuratly, so not very happy on that end but a Very Good CPU in general and dont leave it just because you read this review lol im just unlucky the CPU is REALLY GOOD trust me.",23 May 2024,Future Expectations
No title,No rating,Bought this for a new build I was doing. Performed great for the price and runs cool just using the stock cooler it came with.No hesitation in recommending for quality and performance verses price,22 May 2024,Positive
No title,No rating,Tutto nella norma,22 May 2024,Neutral
No title,No rating,Excellent !,21 May 2024,Positive
No title,No rating,"Se você pensa em montar um set up novo sem gastar muito com processador e ainda assim ter um bom rendimento nas suas tarefas e jogos, escolha esse. O custo benefício é excelente.",17 May 2024,Neutral
No title,No rating,Bien pour un Gamer moyen gamme,12 May 2024,Neutral
No title,No rating,I really liked that they delivered it with care and it was on time. That was the most important part. so it was timely and they delivered it with less than a day. I like the quality but cant say it’s the best 7.5 / 10 I hope it came with a cooler for all this money tho cuz I aint keeping this if it didn’t I legit spent 100 quid on this over that. So hopefully it did,12 May 2024,Future Expectations
No title,No rating,Ce processeur couplé avec un GPU Radeon RX 6750 XT est un bon compromis pour un PC gamer de milieu de gamme.,12 May 2024,Neutral
No title,No rating,"Ottimo qualità prezzo,vedremo nel tempo",12 May 2024,Neutral
No title,No rating,Excelente amei  entrega  rápido  recomendo,10 May 2024,Neutral
No title,No rating,"E' la CPU del momento per rapporto prezzo-qualità, dipende sempre dall'uso che dovete fare, ma cmq efficiente anche per il gaming ovviamente non estremo in quanto è un f e non un k...Perfetto per build come la mia con 16gb ram DDR4, rtx 4060. Silenzioso con dissipatore di serie",9 May 2024,Negative
No title,No rating,livré en parfait état et dans les temps,8 May 2024,Neutral
No title,No rating,"Muy contento para ser un procesador de gama media. Vengo del socket X99 ( Placa Asus no chinas) y bueno ya le tocaba modernizarse a mi PC con las DDR5 y Pcie 5.0 asi que opte por el socket 1700 y chispet Z790 y bueno vengo de un 5820k tambien de 6 nucleos y 12hilos como este procesador pero en los Benchmark que he echo yo la verdad que le da un 45% mas de rendimiento debido a que el 5820k lo tenia a 4,40ghz tambienm si estubiera de stock pues seria casi el doble de potente, como tuve que comprar casi todos los componentes para modernizarme tire por este ya que es el procesador mas equilibrado por su rango de precios cuando recupere algo pasare a otro mas potente pero con mi 1080ti va mas que sobrado.",8 May 2024,Competition Sentiment
No title,No rating,Diría que no ha avanzado mucho delante de mi antiguo i5 9400F. Pero bueno esta muy bien para un PC Gaming Basico/Medio. Viene con un disipador nuevo de Intel de nuevo diseño. Espero que sea para competir con AMD y no porque las temperaturas sean mayores que los de mi 9400F antiguo. Esto esta por ver...,8 May 2024,Competition Sentiment
No title,No rating,"This is a pretty powerful, modern Intel processor which I bought when replacing my gaming PC.On this front, me and Intel agree and are friends, it was in fact a powerful enough processor for most forms of gaming, which was easy to install.However, do NOT use the stock cooler that comes with this thing!If you just want to run your average PC game (FF14, Halo, etc) then you'll find it is strong enough to handle that without breaking a sweat.However, if you are intending to do video or photo editing, or God forbid emulation, then you'll find yourself with the loudest, most ineffective fan I have ever had the misfortune of witnessing.When I fast forward games in PCSX2, it can reach 90C which is 30 above what my previous computer's stock cooler would keep it locked at under any circumstances.I would tell you how hot it got trying to run RPCS3 but I immediately went for Task Manager to close the application after I saw it hit 100C!TL;DR: If you intend to use more than 30% of this processor's true capability, you cannot just use the cooler that comes with it.Extremely disappointing, and I'm kicking myself for not researching this more thoroughly, as I had erroneously thought from past experience that it could handle basic tasks without sounding like a helicopter taking off.",6 May 2024,Positive
No title,No rating,Like,6 May 2024,Positive
No title,No rating,"Ofrece buen rendimiento y buenas temperaturas a buen precio, tanto para jugar como ofimática o edición de vídeo.",5 May 2024,Neutral
No title,No rating,pour un prix plus que convenable ce pross est top pour un utilisateur standard et meme pour du gaming,3 May 2024,Positive
No title,No rating,"Habe diesen 12400f gerade gekauft, weil Amazon ihn für einen tag für 105€ hatte :-). Da habe ich dann meinen 12100f getauscht, und es hat sich gelohnt. in Games ist es beiu älteren nicht zu merken, aber aktuelle Tietel bringen mehr FPS aber vor allem läuft das Game etwas (Smoother) also irgendwie flüssiger, die min FPS sind höher. in Office Anwendunegn ist es egal ob 4/8 oder 6/12 core, es ist nicht zu merken, aber wenn ich eine MKV datei zu AVI wandel, spart es etwa 40% zeit. mit dem Arcitc Freezer ESport Duo läuft er im Office betrieb nicht über 35C, in Games nicht über 60C und beim Dateiwandeln (100% auslasstung) nicht über 75C, was will ich mehr, und da ich meine alte 12100f sicher noch gut weg bekomme, ist der neu um so günstiger :-)",30 April 2024,Negative
No title,No rating,Chegou em boas condições e muito rápido,29 April 2024,Neutral
No title,No rating,Der Intel i512400f  mit boxlüfter  läuft bei mir auf einem msi 1700 Bord und 16 gab ram 3200 mhz vom corsai und eine Rtx 3060 12gb,29 April 2024,Neutral
No title,No rating,"Lo compre' como cpu por el primero ordenador de mi hijo y fue una muy buena compra, los juegos van genial junto a una grafica rtx 3080.",27 April 2024,Positive
No title,No rating,"Un procesador con muy buen rendimiento,buena calidad,temperaturas muy correctas y sobretodo muy buen precio.",27 April 2024,Neutral
No title,No rating,Superrrrrr,22 April 2024,Neutral
No title,No rating,"Ho acquistato questo processore per un upgrade del mio computerLa versione acquistata non ha la scheda video integrata in quanto non mi era necessaria (F).Il dissipatore stock è abbastanza carino, tuttavia un po' rumoroso, va bene per una scelta economica.Consiglierei un dissipatore anche low cost a rumorosità inferiore, non serve chissà che, viste le basse temperature d'utilizzo del processore.Sono molto soddisfatto (venendo da un vetusto 6600k)",22 April 2024,Negative
No title,No rating,"El procesador es de lo mejor en rendimiento precio, pero si además se le hace OC por BCLK es insuperable.",22 April 2024,Neutral
No title,No rating,"Rien à dire de spécifique il s'agit d'un I5-12400FBureautique avancée, Petit et moyen jeux...Il fonctionne très bien",21 April 2024,Negative
No title,No rating,"Não tenho o que reclamar, muito bom.",20 April 2024,Neutral
No title,No rating,Super pour les jeux marche nickel ( 6800 ) par contre ne possèdent pas de partie graphique donc n'oubliez pas de brancher l'écran sur la carte graphique et non sur la carte mère sinon écran noir pas de signal détecté.,19 April 2024,Positive
No title,No rating,Ich bin absolut begeistert von der CPUFür den Preis gibt es in Sachen gaming nichts zu meckern ich denke die CPU richtet sich durch die fehlende igpu auch an solche.Zu erst einmal gibt es nur 2 minus Punkte die für mich persönlich nicht so ins Gewicht fallen.1 keine igpu ohne eine eigene Grafikkarte kein Bild2 Boxed Kühler kann man sofort entsorgen (Trotz angegebener 65watt) mit Boxed Kühler über 80 GradDann zu den Pluspunkten- Leistung für Grade einmal 119€ erhält man ein CPU mit dem man eigentliche jegliches Spiel über der 60 FPS Marke daddeln kann.-Temparaturen auch wen der Boxed Kühler nicht zu gebrauchen ist läst sich die CPU auch unter Volllast mit einem normalen Luft Kühler (20€) bei 50 bis 52 Grad halten was absolut top ist .Es gibt einfach für diesen Preis nichts zu meckern und jeder 1080p Spieler bis 144Hertz Sollte seine Freude mit der CPU haben.SystemAsus H61 Gaming mATX BoardIntel I5 12400f2x16GB DDR4 Corsair SpeicherGhost Gainward 3060 12GBAero Cool 550 Lux2x500gb SSD crucialMehr braucht man nicht solange man nicht in 4K spielt,19 April 2024,Negative
No title,No rating,produit reçu dans les temps . je suis tres satisfaite de mon achat .,18 April 2024,Neutral
No title,No rating,"Ótimo desempenho com custo beneficio. Mas existe um detalhe muito importante. SEM GPU INCLUSA. Em outras palavras, seu computador precisa de uma placa de vídeo para funcionar, diferente de outros processadores com GPU inclusa. Um detalhe importante.",17 April 2024,Neutral
No title,No rating,"la cpu è esattamente come descritta e nella qualità come ci si aspetta da intel, molto buona",15 April 2024,Neutral
No title,No rating,J’ai reçu monColis ouvert avec le processeur manquant biensur c’est personne,13 April 2024,Neutral
No title,No rating,Rapporto qualità prezzo buona,11 April 2024,Neutral
No title,No rating,"Desde el momento en que instalé este procesador Intel en mi computadora, quedé impresionado por su rendimiento excepcional. A pesar de su precio asequible, este procesador maneja todas mis tareas diarias con facilidad, desde la navegación web hasta el procesamiento de textos y la edición de video.Lo que realmente destaca es su capacidad para manejar múltiples aplicaciones simultáneamente sin ralentizarse. Además, su eficiencia energética es notable, lo que significa que no solo es bueno para mi bolsillo, sino también para el medio ambiente.En resumen, este procesador Intel ofrece un equilibrio perfecto entre precio y rendimiento. Es una elección excelente para cualquier persona que busque actualizar su sistema sin gastar una fortuna. ¡Lo recomiendo mucho!",10 April 2024,Negative
No title,No rating,"Switched from 6th gen i5 (6600k) to 12400f, I can feel the significant improvement. Especially with daily tasks and games it works perfectly. I got ddr5 6000mhz cl30 ram as well, works without a problem. Combined with 4060 ti, consumes such little power and gets everything i need done so far.I got a noctua cooler for it though, works really quiet and cool. Perfect for the price. About 500sek cheaper than the version with integrated graphics, but there are low profile gpus in case you want it as a simple daily or office use.",10 April 2024,Positive
No title,No rating,Buon processore abbinato con una 3070,7 April 2024,Neutral
No title,No rating,"Très bon processeur, l’ayant acheté pour 2 ordinateurs il est superbe ! Le seul défaut et que le deuxième avait une boîte un peu abîmé mais l’état du processeur était irréprochable tout comme le ventirad.",6 April 2024,Negative
No title,No rating,"Se volete costruirvi una build economica, questo è un buon processore soprattutto quando va in sconto prime; consiglio di sostituire il dissipatore stock con qualcosa di più valido e silenzioso, ma se siete proprio ristretti come budget va bene anche lo stock. Può ancora dire la sua nel 2024, soprattutto se abbinato a una buona scheda video (es. RX 6600) e a una scheda madre decente.",3 April 2024,Negative
No title,No rating,esta bien,1 April 2024,Neutral
